web_scraper_order,web_scraper_start_url,location_title,city,location_of_store_irvine,location_of_store_sandiego,location_losangeles,country,phone,hoursofoperation,allstores,latitude,longitude
1723130325-1,https://www.sephora.com/happening/storelist,California,"Alhambra, Alhambra Place",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-2,https://www.sephora.com/happening/storelist,California,"Anaheim, Anaheim - Disney",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-3,https://www.sephora.com/happening/storelist,California,"Antioch, Slatten Ranch",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-4,https://www.sephora.com/happening/storelist,California,"Arcadia, Santa Anita",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-5,https://www.sephora.com/happening/storelist,California,"Bakersfield, The Shops At River Walk",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-6,https://www.sephora.com/happening/storelist,California,"Bakersfield, Valley Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-7,https://www.sephora.com/happening/storelist,California,"Berkeley, Berkeley",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-8,https://www.sephora.com/happening/storelist,California,"Brea, Brea",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-9,https://www.sephora.com/happening/storelist,California,"Burbank, Burbank Empire Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-10,https://www.sephora.com/happening/storelist,California,"Burlingame, Burlingame",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-11,https://www.sephora.com/happening/storelist,California,"Calabasas, Calabasas",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-12,https://www.sephora.com/happening/storelist,California,"Canoga Park, Topanga",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-13,https://www.sephora.com/happening/storelist,California,"Carlsbad, Shoppes At Carlsbad",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-14,https://www.sephora.com/happening/storelist,California,"Cerritos, Los Cerritos",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-15,https://www.sephora.com/happening/storelist,California,"Chino Hills, Chino Hills",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-16,https://www.sephora.com/happening/storelist,California,"Chula Vista, Otay Ranch",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-17,https://www.sephora.com/happening/storelist,California,"Concord, The Veranda",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-18,https://www.sephora.com/happening/storelist,California,"Corona, Crossings at Corona",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-19,https://www.sephora.com/happening/storelist,California,"Corte Madera, Corte Madera",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-20,https://www.sephora.com/happening/storelist,California,"Costa Mesa, South Coast Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
